TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-06 13:06:25","Assembly Line Tracker",EUL768,"Pool 60 Start"
"2017-03-06 13:06:26","Assembly Line Tracker",XPR275,"Pool 60 Start"
"2017-03-06 13:06:27","Assembly Line Tracker",TPG078,"Pool 60 Start"
"2017-03-06 13:06:28","Assembly Line Tracker",LMN504,"Pool 60 Start"
"2017-03-06 13:06:29","Assembly Line Tracker",BRL042,"Pool 60 Start"
"2017-03-06 13:06:31","Assembly Line Tracker",FHL057,"Pool 60 Start"
"2017-03-06 13:06:32","Assembly Line Tracker",MBP046,"Pool 60 Start"
"2017-03-06 13:06:33","Assembly Line Tracker",QJP284,"Pool 13 Start"
"2017-03-06 13:06:34","Assembly Line Tracker",IBA235,"Pool 60 Start"
"2017-03-06 13:06:35","Assembly Line Tracker",ZYA587,"Pool 60 Start"
"2017-03-06 13:06:37","Assembly Line Tracker",IQS845,"Pool 60 Start"
"2017-03-06 13:06:55","Hood Conveyor",FIX581,"Hood Upload"
"2017-03-06 13:07:28",U-BOLT,EUL768,"Front U-Bolt"
"2017-03-06 13:07:45","Cab call scan",HMX073,"A Line"
"2017-03-06 13:08:06","OMT Offline Tracking",GMS924,"Enter Offline"
"2017-03-06 13:10:11","Cab Conveyer",JYI091,"Cab Upload 2"
"2017-03-06 13:10:11","Cab Conveyor / Monorail",JYI091,"Cab Upload"
"2017-03-06 13:10:27","Paint Inspection",SZP362,PAINT
"2017-03-06 13:10:51","Assembly Line Tracker",ZHB578,"Pool 13 Start"
"2017-03-06 13:10:53","Assembly Line Tracker",DTP539,"Pool 60 Start"
"2017-03-06 13:10:55","Assembly Line Tracker",AKC912,"Pool 60 Start"
"2017-03-06 13:10:56","Assembly Line Tracker",HRY673,"Pool 60 Start"
"2017-03-06 13:10:57","Assembly Line Tracker",MRI015,"Pool 60 Start"
"2017-03-06 13:10:58","Assembly Line Tracker",MQH836,"Pool 60 Start"
"2017-03-06 13:11:00","Assembly Line Tracker",CNZ205,"Pool 60 Start"
"2017-03-06 13:11:01","Assembly Line Tracker",YDL247,"Pool 60 Start"
"2017-03-06 13:11:02","Assembly Line Tracker",XGW598,"Pool 60 Start"
