TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
2017-03-06 12:48:07.000000,STVMS Tracking Top Station,OQA530,Top Station
2017-03-06 12:48:12.000000,STVMS Tracking Top Station,DFZ024,Top Station
2017-03-06 12:48:15.000000,STVMS Tracking Top Station,EQK798,Top Station
2017-03-06 12:48:18.000000,STVMS Tracking Top Station,TGS974,Top Station
2017-03-06 12:48:22.000000,STVMS Tracking Top Station,GDU671,Top Station
2017-03-06 12:48:26.000000,STVMS Tracking Top Station,ELI075,Top Station
2017-03-06 12:48:29.000000,STVMS Tracking Top Station,PEK163,Top Station
2017-03-06 12:48:32.000000,STVMS Tracking Top Station,SYB619,Top Station
2017-03-06 12:48:36.000000,STVMS Tracking Top Station,CXD285,Top Station
2017-03-06 12:48:36.377000,OMT Offline Tracking,EPB160,Enter Offline
2017-03-06 12:48:38.643000,OMT Offline Tracking,XSF309,Enter Offline
2017-03-06 12:48:39.000000,STVMS Tracking Top Station,BEM390,Top Station
2017-03-06 12:48:43.000000,STVMS Tracking Top Station,CVE258,Top Station
2017-03-06 12:48:46.000000,STVMS Tracking Top Station,ETO603,Top Station
2017-03-06 12:48:50.000000,STVMS Tracking Top Station,RCF947,Top Station
2017-03-06 12:48:53.000000,STVMS Tracking Top Station,ALP937,Top Station
2017-03-06 12:50:31.033000,Cab Conveyer,ALP937,Cab Upload 2
2017-03-06 12:50:31.033000,Cab Conveyor / Monorail,ALP937,Cab Upload
2017-03-06 12:50:50.830000,Assembly Line Tracker,ALP937,Pool 60 Start
2017-03-06 12:50:51.683000,Assembly Line Tracker,RCF947,Pool 60 Start
2017-03-06 12:50:52.600000,Assembly Line Tracker,ETO603,Pool 60 Start
2017-03-06 12:50:53.490000,Assembly Line Tracker,CVE258,Pool 60 Start
2017-03-06 12:50:54.440000,Assembly Line Tracker,BEM390,Pool 60 Start
2017-03-06 12:50:55.223000,Assembly Line Tracker,CXD285,Pool 60 Start
